@relation WDF

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute sigma1 numeric
@attribute sigma2 numeric
@attribute mu1 numeric
@attribute A1 numeric
@attribute sigma3 numeric
@attribute sigma4 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
204,100,24271.84,5,4,3,2,15,1118.237253,816.557275,1.666667,1.37931,7,10.795609,1.263158,2.222222,18,15.761298
205,100,22653.72,3,7,3,2,25,1114.02973,678.952377,0.879121,2.272727,7,17.718882,2.666667,2.857143,18,11.347743
228,50,11488.67,2,4,3,2,15,659.304126,508.528061,1.333333,2.222222,6,4.983346,2.857143,1.355932,20,6.360431
231,60,17799.35,6,4,3,2,40,1372.884027,1209.419345,0.540541,3.809524,6,10.685833,3.5,2.105263,20,19.230547
314,124,4530.74,9,4,3,6,1,107.593385,108.285393,0.740741,0.645161,6,1.04067,1.818182,1.428571,19,1.331008
315,108,7928.8,8,4,3,4,1,105.822623,104.939622,0.909091,1.025641,6,1.605758,2.105263,1.5625,19,1.690097
324,60,1132.69,5,4,2,4,1,123.50821,123.50821,1.06383,0.689655,6,1.97673,1.612903,2.727273,18,3.4024
333,144,12459.55,9,4,2,6,1,92.549052,77.115529,1.37931,1.034483,6,0.878898,1.846154,2.564103,19,1.1822
341,58,4207.12,6,4,2,6,1,986.719058,586.39123,1.391304,3.589744,8,10.508152,2.424242,2.727273,18,10.475893
342,54,2265.37,6,4,2,6,1,235.525641,219.993144,0.776699,1.666667,5,4.526762,2.068966,0.884956,18,6.15728
343,108,5987.06,6,4,3,1,1,207.499515,179.44974,2.089552,2.857143,8,2.275723,2.051282,1.851852,19,4.163817
346,56,1456.31,2,4,2,4,1,254.455689,231.56699,0.618557,0.769231,6,4.258237,1.428571,2.5,19,2.871489
347,100,3236.25,7,4,1,4,1,100.546247,100.546247,1.639344,1.06383,6,0.938911,1.212121,2.083333,18,1.257553
362,80,2589,5,4,2,6,1,103.208541,103.208541,1.081081,0.727273,6,1.477887,0.740741,2.173913,18,2.148902
364,60,6634.3,10,4,2,4,1,187.89462,187.89462,0.869565,0.967742,6,2.068273,2.439024,2.307692,18,2.231534
365,42,4530.74,6,4,2,6,1,128.63766,87.784016,0.816327,1.369863,6,1.614108,1.690141,2.173913,19,2.030826
367,96,5663.43,11,4,1,4,1,471.697295,346.106207,1.196581,1.481481,7,3.728972,1.904762,2,19,6.986306
368,63,4692.56,6,4,2,4,1,156.363447,139.755896,1.666667,1.818182,9,1.456829,1.428571,2.142857,18,3.882912
370,58,4530.74,4,4,2,4,1,107.820176,108.675581,0.991736,1.263158,6,3.003068,1.025641,1.73913,18,1.755777
371,56,2912.62,5,4,2,4,1,76.265797,61.889871,1.904762,1.025641,8,0.86009,1.904762,1.73913,18,1.551774
376,90,4207.12,8,4,0,4,1,97.358558,152.70531,0.925926,1.538462,6,0.858673,1.538462,2.142857,18,2.324684
378,54,1132.69,4,4,2,4,1,133.760732,146.982825,0.983607,0.634921,7,1.505528,1.052632,2.105263,18,2.466031
464,15,6148.87,3,4,2,5,3,78.915982,74.960162,0.661157,1.411765,6,2.002917,2.051282,1.204819,19,1.789544
467,36,6472.49,4,0,3,1,3,129.178381,123.710833,1.016949,1.538462,6,0.701112,2.051282,2.564103,19,2.143187
468,42,3236.25,4,0,3,1,3,153.135017,131.074394,1.694915,1.025641,8,1.262132,1.311475,2.666667,18,2.873117
469,42,1003.24,4,0,3,1,3,334.971858,268.072349,2.051282,2.5,6,1.869214,2,1.6,19,1.622885
478,36,2589,4,4,3,5,2,73.441228,62.726035,1.212121,0.625,7,2.348197,3.043478,1.509434,20,2.300394
481,140,9061.49,5,4,2,2,1,91.92053,91.92053,0.472441,2.162162,6,1.732618,1.081081,1.538462,17,1.325873
491,27,1132.69,5,4,2,2,12,154.36907,125.135761,1.428571,1.684211,8,3.936972,1.860465,1.724138,19,3.506826
497,15,1132.69,6,4,2,5,2,135.966924,117.776399,1.428571,0.677966,7,1.611811,2.051282,2.051282,20,4.119326
502,42,291.26,8,4,2,5,2,315.822953,315.822953,0.793651,3.076923,6,8.765031,1.538462,2.857143,18,8.533664
504,36,0,5,4,2,5,3,229.445923,229.445923,0.631579,2.051282,6,6.3308,1.904762,1.190476,19,7.599981
505,36,0,6,4,2,5,2,165.079789,165.079789,2.352941,1.578947,8,2.651942,1.276596,2.083333,19,2.656647
508,175,1779.94,3,4,2,2,3,118.527557,118.527557,1.126761,1.923077,6,1.606686,1.6,1.818182,19,3.17202
519,48,0,5,4,3,2,3,76.221812,64.971433,1.960784,0.792079,7,1.062554,2.222222,1.162791,19,1.225336
590,88,1339.29,6,4,2,8,4,355.141613,306.89463,0.47619,1.090909,6,3.141682,2.285714,2.105263,18,4.034899
592,88,8928.57,4,4,2,5,3,475.959169,427.87598,0.930233,2.040816,6,4.087969,2.222222,1.666667,19,4.315028
593,35,2976.19,4,4,2,5,3,175.47402,155.704377,0.776699,0.606061,6,1.841562,1.666667,1.333333,19,3.368607
594,78,4464.29,4,4,2,5,3,165.76691,150.465979,0.754717,0.816327,7,1.649524,0.8,1.967213,18,2.895828
595,120,23809.52,6,4,2,5,4,84.616501,73.43813,0.662983,1.702128,6,1.323226,2,1.754386,19,1.047539
596,40,2083.33,5,4,2,5,3,122.841185,103.208835,1.842105,2.666667,9,0.754574,2.142857,1.315789,19,1.796322
597,40,892.86,2,4,2,5,3,65.569081,60.773088,1.190476,0.45977,6,1.083006,3.414634,1.587302,19,1.049784
599,40,2083.33,3,4,2,1,3,117.390966,100.634594,1.025641,0.062696,8,0.166718,2.352941,2.051282,20,0.605079
