@relation WDF

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
505,36,0,6,4,2,5,2,165.079789,165.079789,8,19,2.656647
508,175,1779.94,3,4,2,2,3,118.527557,118.527557,6,19,3.17202
519,48,0,5,4,3,2,3,76.221812,64.971433,7,19,1.225336
590,88,1339.29,6,4,2,8,4,355.141613,306.89463,6,18,4.034899
592,88,8928.57,4,4,2,5,3,475.959169,427.87598,6,19,4.315028
593,35,2976.19,4,4,2,5,3,175.47402,155.704377,6,19,3.368607
594,78,4464.29,4,4,2,5,3,165.76691,150.465979,7,18,2.895828
595,120,23809.52,6,4,2,5,4,84.616501,73.43813,6,19,1.047539
596,40,2083.33,5,4,2,5,3,122.841185,103.208835,9,19,1.796322
597,40,892.86,2,4,2,5,3,65.569081,60.773088,6,19,1.049784
599,40,2083.33,3,4,2,1,3,117.390966,100.634594,8,20,0.605079
600,32,2678.57,4,4,2,5,3,154.611311,124.608889,6,19,1.356393
606,77,1488.1,2,4,2,5,3,79.841663,62.686062,6,19,1.129741
611,54,2976.19,3,4,2,5,3,299.484609,295.807464,9,19,3.218471
612,99,2678.57,5,4,2,5,3,103.359769,96.620175,6,20,0.581035
615,40,1488.1,4,4,2,5,3,181.996799,156.863208,6,19,4.731065
618,70,1488.1,4,4,2,5,3,118.689075,126.087504,4,20,0.465804
620,35,2976.19,3,4,2,5,3,66.228074,57.752006,8,20,1.126921
622,99,892.86,2,4,2,5,3,114.174159,81.198558,6,20,1.667269
625,84,2380.95,10,4,2,5,3,500.288691,413.324823,6,19,6.186246
627,120,2380.95,3,4,2,2,3,164.082662,146.675212,6,17,2.555404
632,77,2380.95,9,4,2,5,3,108.074904,91.383944,7,19,1.795101
633,80,1398.81,3,4,2,5,3,108.445353,94.116597,3,21,0.176934
635,40,4464.29,5,4,2,5,3,98.022329,375.881728,5,20,2.434822
637,90,1041.67,1,4,2,1,3,100.520623,63.997303,7,18,1.854803
639,120,2976.19,3,4,2,5,3,112.71265,90.939951,6,18,1.562725
