all_scores,batch_fit_time,dbi,mia,n_sample,silhouette,t0,total_sample,transform,experiment_name,som_dim,n_clust,date
6.28229371680731,0.23119831085205078,0.7803636496929844,3.693563703824897,313,0.4588010338611076,1643190047.3401666,313,,1200_2500,0,2,2022-01-26
8.288402010841493,0.020016908645629883,0.9241703147385277,3.1854446722654193,313,0.3551822657128591,1643190047.3797004,313,,1200_2500,0,3,2022-01-26
6.866483058165914,0.01851630210876465,0.849441731830924,2.7665850207472835,313,0.3422498463003243,1643190047.4187343,313,,1200_2500,0,4,2022-01-26
9.968451709805901,0.022519350051879883,1.0147860010579772,2.605138750883732,313,0.26520250207060003,1643190047.4547653,313,,1200_2500,0,5,2022-01-26
12.177148431142001,0.0245206356048584,1.1709592399523239,2.6333782991814423,313,0.25322666214944545,1643190047.4993033,313,,1200_2500,0,6,2022-01-26
10.792181140698574,0.026523590087890625,1.1504441396563423,2.4314824642000854,313,0.25919549673487813,1643190047.5453436,313,,1200_2500,0,7,2022-01-26
10.774808816427996,0.02402043342590332,1.1824011489412847,2.2370726416935685,313,0.24549087662424854,1643190047.586879,313,,1200_2500,0,8,2022-01-26
9.762056549225598,0.03803277015686035,1.1385904542254008,2.09365866413915,313,0.24419237456519793,1643190047.6424267,313,,1200_2500,0,9,2022-01-26
8.692058819160126,0.044538021087646484,1.0884898052510366,1.9583107560520931,313,0.24523548883233628,1643190047.7109857,313,,1200_2500,0,10,2022-01-26
9.010667938756237,0.03603076934814453,1.1406172734952444,1.9053138738584612,313,0.24118455265737787,1643190047.7680345,313,,1200_2500,0,11,2022-01-26
8.614446399755074,0.03252816200256348,1.1227669448664206,1.8650408451923444,313,0.24308076394406863,1643190047.823082,313,,1200_2500,0,12,2022-01-26
8.745875926304329,0.05054330825805664,1.1277623306908735,1.8071471526670544,313,0.23302782956976695,1643190047.8926413,313,,1200_2500,0,13,2022-01-26
9.059273336189074,0.04103493690490723,1.1499387925044589,1.838551434645596,313,0.23337651247015778,1643190047.9521925,313,,1200_2500,0,14,2022-01-26
7.219144912622208,0.037032127380371094,1.0563864489342651,1.7847159284220158,313,0.26115970032485997,1643190048.0087416,313,,1200_2500,0,15,2022-01-26
6.90780894846791,0.03803300857543945,1.017676074135663,1.6972142903833196,313,0.25003794819590697,1643190048.0647898,313,,1200_2500,0,16,2022-01-26
6.749574033513391,0.03352856636047363,1.0160934793838785,1.672533034157317,313,0.25178624630579244,1643190048.1188357,313,,1200_2500,0,17,2022-01-26
6.760841116804916,0.039534807205200195,1.049611609779233,1.5885717636153163,313,0.24662365780399975,1643190048.1783879,313,,1200_2500,0,18,2022-01-26
6.763257795235707,0.04253649711608887,1.029259316774648,1.5607575079712326,313,0.23752224962310303,1643190048.2449443,313,,1200_2500,0,19,2022-01-26
6.7601782383105204,0.047040462493896484,1.0397633705264038,1.5729933207046576,313,0.24193753171811985,1643190048.3190084,313,,1200_2500,0,20,2022-01-26
6.800456774397711,0.055047035217285156,1.0605063941698267,1.53339892954304,313,0.23912796206804587,1643190048.3985765,313,,1200_2500,0,21,2022-01-26
5.742669062585081,0.04904294013977051,1.0147448784368345,1.4787604143071795,313,0.26130089345212204,1643190048.4701385,313,,1200_2500,0,22,2022-01-26
6.366078282267649,0.06855893135070801,1.0625419950231665,1.4742044197362831,313,0.24605479790936435,1643190048.5617168,313,,1200_2500,0,23,2022-01-26
6.208352024344753,0.047040700912475586,1.0496137272002908,1.449130429003257,313,0.24499693071866335,1643190048.629275,313,,1200_2500,0,24,2022-01-26
6.054892355433139,0.07206201553344727,1.0381026216999352,1.4010158572493727,313,0.24020216200023842,1643190048.7273593,313,,1200_2500,0,25,2022-01-26
5.975396733751388,0.06605672836303711,1.0455802941951886,1.3736644027411988,313,0.24036503253933705,1643190048.8149343,313,,1200_2500,0,26,2022-01-26
6.045742009669114,0.06405472755432129,1.0527434038550023,1.3690196239158519,313,0.2383870129622597,1643190048.9015086,313,,1200_2500,0,27,2022-01-26
7.084970156593794,0.05254554748535156,1.133940945281579,1.4036019324008777,313,0.22464479974477247,1643190048.975072,313,,1200_2500,0,28,2022-01-26
5.9569881204986626,0.04553961753845215,1.0518436284598403,1.308603432334022,313,0.23106411405198435,1643190049.04213,313,,1200_2500,0,29,2022-01-26
5.812712702889542,0.04704022407531738,1.0451210896358791,1.2864837232855773,313,0.2313087433360794,1643190049.111189,313,,1200_2500,0,30,2022-01-26
5.207497177395237,0.05704927444458008,0.9799584040270889,1.2607605297232276,313,0.23725272131321798,1643190049.1917582,313,,1200_2500,0,31,2022-01-26
5.2155124307134635,0.0665583610534668,1.0189129670153212,1.2577898698775805,313,0.24572435119735012,1643190049.281336,313,,1200_2500,0,32,2022-01-26
5.237432957332062,0.04053473472595215,0.9997651188774919,1.253786371075759,313,0.23933325553518148,1643190049.3448896,313,,1200_2500,0,33,2022-01-26
5.172668629193001,0.06205344200134277,1.0192933060149725,1.2398378417310243,313,0.24431458947287052,1643190049.4294631,313,,1200_2500,0,34,2022-01-26
4.589852845347237,0.07406377792358398,0.9561405799473779,1.1884148436309978,313,0.24756603230957192,1643190049.5270467,313,,1200_2500,0,35,2022-01-26
4.662014833941054,0.07656502723693848,0.961045176283771,1.1531774054044241,313,0.23772030384692877,1643190049.6321363,313,,1200_2500,0,36,2022-01-26
5.115399440901469,0.06455588340759277,1.0278736333085765,1.2033844286318354,313,0.24180460181361527,1643190049.7222145,313,,1200_2500,0,37,2022-01-26
4.448794291860941,0.06405520439147949,0.9536550030229359,1.1076148156391685,313,0.23743116472907866,1643190049.814794,313,,1200_2500,0,38,2022-01-26
4.916743835303621,0.05454683303833008,1.0020967043422908,1.167205132080457,313,0.23789167288944296,1643190049.8988662,313,,1200_2500,0,39,2022-01-26
6.28229371680731,0.23219966888427734,0.7803636496929844,3.693563703824897,313,0.4588010338611076,1643190178.0380123,313,,1200_2500,0,2,2022-01-26
8.288402010841493,0.021518945693969727,0.9241703147385277,3.1854446722654193,313,0.3551822657128591,1643190178.0950615,313,,1200_2500,0,3,2022-01-26
6.866483058165914,0.018516063690185547,0.849441731830924,2.7665850207472835,313,0.3422498463003243,1643190178.1295905,313,,1200_2500,0,4,2022-01-26
9.968451709805906,0.020017147064208984,1.0147860010579772,2.605138750883732,313,0.2652025020705999,1643190178.164621,313,,1200_2500,0,5,2022-01-26
12.177148431142001,0.025021076202392578,1.1709592399523239,2.6333782991814423,313,0.25322666214944545,1643190178.2051554,313,,1200_2500,0,6,2022-01-26
10.792181140698572,0.022018909454345703,1.1504441396563423,2.4314824642000854,313,0.2591954967348782,1643190178.2431884,313,,1200_2500,0,7,2022-01-26
10.774808816427996,0.024020910263061523,1.1824011489412847,2.2370726416935685,313,0.24549087662424854,1643190178.2827225,313,,1200_2500,0,8,2022-01-26
9.762056549225596,0.035030364990234375,1.1385904542254008,2.09365866413915,313,0.244192374565198,1643190178.336769,313,,1200_2500,0,9,2022-01-26
8.692058819160126,0.045038700103759766,1.0884898052510366,1.9583107560520931,313,0.24523548883233628,1643190178.3983219,313,,1200_2500,0,10,2022-01-26
9.010667938756237,0.03302884101867676,1.1406172734952444,1.9053138738584612,313,0.24118455265737787,1643190178.4523685,313,,1200_2500,0,11,2022-01-26
8.614446399755074,0.04303693771362305,1.1227669448664206,1.8650408451923444,313,0.24308076394406863,1643190178.5159228,313,,1200_2500,0,12,2022-01-26
8.745875926304329,0.0515444278717041,1.1277623306908735,1.8071471526670544,313,0.23302782956976695,1643190178.5894861,313,,1200_2500,0,13,2022-01-26
9.059273336189074,0.04103541374206543,1.1499387925044589,1.838551434645596,313,0.23337651247015775,1643190178.6465352,313,,1200_2500,0,14,2022-01-26
7.219144912622208,0.038533687591552734,1.0563864489342651,1.7847159284220158,313,0.26115970032485997,1643190178.702083,313,,1200_2500,0,15,2022-01-26
6.90780894846791,0.04553937911987305,1.017676074135663,1.6972142903833196,313,0.25003794819590697,1643190178.7681398,313,,1200_2500,0,16,2022-01-26
6.749574033513391,0.03402972221374512,1.0160934793838785,1.672533034157317,313,0.25178624630579244,1643190178.8206851,313,,1200_2500,0,17,2022-01-26
6.760841116804916,0.035531044006347656,1.049611609779233,1.5885717636153163,313,0.24662365780399975,1643190178.8757324,313,,1200_2500,0,18,2022-01-26
6.763257795235707,0.04403829574584961,1.029259316774648,1.5607575079712326,313,0.23752224962310303,1643190178.9377859,313,,1200_2500,0,19,2022-01-26
6.760178238310519,0.04603886604309082,1.0397633705264038,1.5729933207046576,313,0.2419375317181199,1643190179.0093467,313,,1200_2500,0,20,2022-01-26
