,Morning,Morning,Morning,Morning,Afternoon,Afternoon,Afternoon,Afternoon
,sigma1,sigma2,mu1,A1,sigma3,sigma4,mu2,A2
ProfileID,,,,,,,,
186,2.9787234042553288,1.2903225806451657,9,4.566352567195511,1.8867924528301947,3.225806451612903,19,9.768330099033207
202,1.298701298701303,4.000000000000003,7,12.005070682311022,4.000000000000005,5.000000000000004,16,12.926889070328969
213,2.307692307692308,4.0,9,10.100893771010343,2.0,3.68421052631579,17,17.194509582056007
248,2.5531914893617103,3.0769230769230775,10,11.093887343068918,4.615384615384619,2.5,20,15.382327346265317
567,0.925925925925929,3.3962264150943504,7,11.841570008270505,2.2222222222222223,2.040816326530619,19,8.548754074421476
581,2.000000000000006,3.404255319148947,8,5.664669803733515,0.8823529411764734,1.1764705882352942,18,2.8749887129866085
695,1.0869565217391342,4.137931034482758,6,8.351195197651577,2.500000000000005,1.632653061224495,20,8.834089396210278
710,2.040816326530619,7.5000000000000036,8,12.367209294509134,7.142857142857148,3.076923076923077,18,12.729148601424956
711,1.111111111111115,2.0512820512820515,5,7.2565058128987445,2.0512820512820515,1.5384615384615434,20,8.886326557492179
714,2.926829268292692,5.384615384615385,10,11.424140157253571,1.4814814814814814,2.352941176470596,18,14.90403854254792
831,2.0512820512820515,1.7647058823529411,9,6.5119841963363205,1.6666666666666665,3.076923076923077,18,11.360131941942704
3318,1.052631578947372,4.102564102564103,8,9.216101268356148,2.2857142857142856,2.43902439024391,19,8.851756326162615
4512,2.4242424242424323,4.0,10,9.064963962281906,1.875,3.3333333333333335,19,8.885445154065726
4524,1.8461538461538523,3.68421052631579,9,11.336004040259022,1.9047619047619107,3.125,19,14.53823488974012
4529,1.111111111111115,3.076923076923077,8,3.2373435689985612,2.068965517241386,1.8867924528301947,19,7.569911395395614
4538,2.08333333333334,5.333333333333333,9,14.923807596016648,2.142857142857143,2.500000000000008,19,11.380836525951729
4539,2.857142857142866,4.11764705882353,10,14.393965163197098,1.875,2.3255813953488444,19,11.727387453259778
4546,2.3255813953488444,2.745098039215695,10,9.930975691671822,3.076923076923077,1.379310344827586,22,11.980836432635416
4547,1.0101010101010135,2.307692307692308,8,6.354230335016944,2.2222222222222294,2.307692307692308,21,8.830431180023755
4564,2.0000000000000067,2.9629629629629726,8,8.515138117344712,1.6000000000000052,2.3255813953488444,19,9.574984555926754
4566,1.6949152542372936,4.242424242424242,9,8.821283621882111,3.225806451612903,1.7021276595744734,20,10.407041560154719
4575,1.2244897959183714,2.692307692307701,8,10.90483913677412,2.5641025641025643,4.761904761904763,19,9.41961927864856
4576,1.052631578947372,3.68421052631579,8,9.554652964535368,2.727272727272728,3.333333333333334,20,8.685084311378299
4580,1.764705882352947,4.516129032258064,9,7.083623044689497,2.222222222222223,1.9718309859154994,17,5.475368927984879
4596,0.594059405940596,3.58974358974359,7,8.80993722217633,1.9047619047619107,2.2857142857142856,20,16.75865467336115
4597,1.3333333333333377,4.390243902439038,9,13.35409252966551,1.081081081081081,1.51515151515152,19,12.455998910711957
